timestamp,test_id,nnodes,tasks_per_node,collective_type,mpi_lib,mpi_lib_version,libswing_version,gpu_awareness,gpu_lib,gpu_lib_version,output_level,MPI_Op,notes
2025_03_26___19_49_06,0,2x2x2,1,ALLREDUCE,FJMPI,4.0.1,1.0.0,no,null,null,summarized,MPI_SUM,null
2025_03_26___19_49_06,1,2x2x2,1,REDUCE_SCATTER,FJMPI,4.0.1,1.0.0,no,null,null,summarized,MPI_SUM,null
2025_03_26___19_49_06,2,2x2x2,1,ALLGATHER,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_03_26___19_49_06,3,2x2x2,1,BCAST,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_03_26___19_49_06,4,2x2x2,1,ALLTOALL,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_03_26___19_49_06,5,2x2x2,1,SCATTER,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_03_26___19_49_06,6,2x2x2,1,GATHER,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_03_26___19_49_06,7,2x2x2,1,REDUCE,FJMPI,4.0.1,1.0.0,no,null,null,summarized,MPI_SUM,null
2025_03_27___04_01_47,0,8x8x8,1,ALLREDUCE,FJMPI,4.0.1,1.0.0,no,null,null,summarized,MPI_SUM,null
2025_03_27___04_01_47,1,8x8x8,1,REDUCE_SCATTER,FJMPI,4.0.1,1.0.0,no,null,null,summarized,MPI_SUM,null
2025_03_27___04_01_47,2,8x8x8,1,SCATTER,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_03_27___04_01_47,3,8x8x8,1,GATHER,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_03_27___04_01_47,4,8x8x8,1,REDUCE,FJMPI,4.0.1,1.0.0,no,null,null,summarized,MPI_SUM,null
2025_03_27___04_01_47,5,8x8x8,1,BCAST,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_03_27___04_01_47,6,8x8x8,1,ALLGATHER,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_03_27___04_01_47,7,8x8x8,1,ALLTOALL,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_04_06___02_35_52,0,64x64,1,ALLREDUCE,FJMPI,4.0.1,1.0.0,no,null,null,summarized,MPI_SUM,null
2025_04_06___02_35_52,1,64x64,1,REDUCE_SCATTER,FJMPI,4.0.1,1.0.0,no,null,null,summarized,MPI_SUM,null
2025_04_06___02_35_52,2,64x64,1,ALLGATHER,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_04_06___02_35_52,3,64x64,1,SCATTER,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_04_06___02_35_52,4,64x64,1,GATHER,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_04_06___02_35_52,5,64x64,1,REDUCE,FJMPI,4.0.1,1.0.0,no,null,null,summarized,MPI_SUM,null
2025_04_06___02_35_52,6,64x64,1,ALLTOALL,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_04_06___02_35_52,7,64x64,1,BCAST,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_04_09___17_37_37,0,32x256,1,ALLREDUCE,FJMPI,4.0.1,1.0.0,no,null,null,summarized,MPI_SUM,null
2025_04_09___17_37_37,1,32x256,1,REDUCE_SCATTER,FJMPI,4.0.1,1.0.0,no,null,null,summarized,MPI_SUM,null
2025_04_09___17_37_37,2,32x256,1,ALLGATHER,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_04_09___17_37_37,3,32x256,1,SCATTER,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_04_12___03_23_58,0,4x4x4,1,ALLREDUCE,FJMPI,4.0.1,1.0.0,no,null,null,summarized,MPI_SUM,null
2025_04_12___03_23_58,1,4x4x4,1,REDUCE_SCATTER,FJMPI,4.0.1,1.0.0,no,null,null,summarized,MPI_SUM,null
2025_04_12___03_23_58,2,4x4x4,1,ALLGATHER,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_04_12___03_23_58,3,4x4x4,1,BCAST,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_04_12___03_23_58,4,4x4x4,1,ALLTOALL,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_04_12___03_23_58,5,4x4x4,1,SCATTER,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_04_12___03_23_58,6,4x4x4,1,GATHER,FJMPI,4.0.1,1.0.0,no,null,null,summarized,null,null
2025_04_12___03_23_58,7,4x4x4,1,REDUCE,FJMPI,4.0.1,1.0.0,no,null,null,summarized,MPI_SUM,null
