Nodes,Groups,Reduction
32,11,15.15
32,8,15.92
128,8,20.10
128,3,-2.36
16,2,0
15,2,0
15,3,-4.34
64,3,-50.00
64,5,22.68
64,5,10.00
64,8,28.01
128,3,-2.36
256,8,31.64
256,8,25.59
256,8,28.98
16,2,0
4,3,16.66
4,2,0
16,3,9.09
32,3,0
64,4,-10.20
16,2,0
16,2,-9.52
16,2,-33.33
16,2,-9.52
4,2,0
8,2,0
64,3,-50.00
32,3,18.51
16,2,0
16,2,0
16,2,0
32,3,7.57
16,13,7.14
16,2,-33.33
4,2,0
32,5,-3.57
32,9,18.18
32,3,14.70
32,3,14.70
32,6,-2.94
64,14,11.28
64,14,22.36
64,8,19.12
15,9,0
11,8,9.75
4,2,0
128,18,18.37
20,2,-1.85
8,6,0
64,13,15.70
64,11,21.98
16,2,-9.52
20,9,28.94
4,3,16.66
8,2,-50.00
16,3,9.09
16,3,11.76
16,3,0
16,2,0
16,3,21.87
32,3,18.51
128,15,14.42
16,5,17.18
16,8,-3.22
16,6,-1.92
16,9,2.77
20,9,10.00
4,3,0
4,4,0
64,3,-12.16
6,3,31.25
16,9,15.21
20,9,4.65
20,5,-11.36
20,9,28.24
16,3,10.81
8,4,18.75
8,4,-8.33
16,10,7.14
4,2,0
4,2,0
128,7,11.23
4,2,0
16,4,15.90
8,2,0
8,2,-50.00
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
16,5,-5.00
4,3,16.66
4,3,0
4,2,0
4,3,16.66
4,3,16.66
4,2,0
4,2,0
4,2,0
4,3,0
4,2,0
4,3,0
4,2,0
4,2,0
4,3,0
4,2,0
4,3,0
4,2,0
4,3,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,3,0
4,2,0
4,2,0
16,2,0
16,2,0
16,3,21.87
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,4,0
4,3,16.66
4,3,0
4,2,0
16,4,19.14
20,2,40.00
25,8,10.37
4,2,0
4,2,0
4,2,0
8,4,11.11
16,3,13.79
4,2,0
4,2,0
6,3,45.00
6,5,5.00
25,9,7.01
25,4,-1.61
25,9,-2.32
25,4,14.51
25,4,9.09
4,3,0
4,2,0
4,3,0
4,2,0
16,7,18.18
25,9,1.96
4,3,0
10,7,13.23
128,16,15.99
4,3,0
