Nodes,Reduction
8,0
8,0
8,0
8,0
8,0
8,0
32,10.00
32,7.95
128,17.33
128,8.95
8,0
16,12.50
8,0
8,0
8,13.33
16,0
64,10.63
16,0
16,0
16,0
16,0
16,0
64,19.31
64,5.88
64,23.12
16,0
128,8.95
16,0
256,25.66
256,22.70
256,26.93
8,0
16,12.12
4,0
4,0
4,16.66
4,0
8,0
16,-2.63
32,16.15
64,8.47
8,0
16,0
16,-27.27
16,11.11
8,0
8,0
4,0
8,0
16,-27.27
4,0
4,0
4,16.66
4,0
8,0
8,0
64,10.63
32,9.57
4,0
16,12.50
16,12.50
16,13.15
8,0
16,0
32,14.65
4,0
4,0
4,0
4,0
16,3.84
4,0
4,0
4,0
8,0
4,0
8,0
8,0
4,0
16,11.11
8,0
8,0
8,0
8,0
4,0
4,0
4,0
4,0
4,0
4,0
32,2.81
32,13.59
32,8.51
32,8.51
32,8.97
8,0
4,0
64,15.63
64,16.16
64,18.05
4,0
8,21.42
8,0
16,0
4,0
128,16.30
16,0
8,14.28
64,12.43
64,17.05
16,-27.27
4,0
16,12.50
4,0
8,12.50
16,11.11
16,-2.56
16,5.55
16,5.71
16,21.42
8,0
32,25.00
128,10.69
16,23.33
16,9.30
16,6.45
16,12.00
16,2.63
4,0
4,0
64,14.62
4,16.66
4,0
4,0
16,4.76
16,10.00
16,12.90
16,14.81
16,15.78
8,9.09
8,9.09
16,8.33
4,0
4,0
128,12.58
4,0
4,0
4,0
16,22.72
4,0
8,13.33
8,12.50
4,0
4,0
4,0
4,16.66
4,16.66
4,0
4,16.66
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,16.66
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,16.66
16,16.17
4,0
4,0
4,0
4,0
4,16.66
4,16.66
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,16.66
4,0
4,0
4,16.66
4,16.66
4,16.66
4,16.66
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,16.66
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
16,12.50
16,13.15
16,14.00
4,0
4,0
4,0
4,0
4,0
4,0
4,16.66
4,0
4,0
4,16.66
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,16.66
16,7.31
4,0
4,0
16,10.81
16,10.60
4,0
4,0
4,0
4,0
4,0
4,16.66
8,10.00
4,0
4,0
4,0
16,10.81
4,0
4,0
4,0
4,16.66
8,0
4,0
16,9.52
16,19.23
16,9.09
16,14.58
16,14.28
4,0
4,16.66
4,0
4,0
4,16.66
4,0
4,0
4,0
16,13.88
4,0
4,0
4,0
4,0
16,13.88
4,0
8,0
128,12.91
4,0
4,0
8,18.75
8,12.50
8,11.11
8,12.50
4,16.66
16,1.85
16,0
32,6.60
16,9.09
4,0
8,0
4,0
8,0
4,0
16,5.71
128,6.29
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,16.66
4,0
16,11.11
4,0
16,0
16,0
16,15.55
16,8.33
16,5.12
128,11.61
8,0
64,25.12
4,0
16,0
8,0
8,0
16,11.11
16,22.00
16,5.71
16,-2.38
4,0
4,0
8,0
4,0
8,0
4,0
4,0
8,15.38
4,0
8,6.25
8,0
8,0
8,0
8,0
4,0
8,0
4,0
4,0
4,0
8,0
8,0
16,0
4,0
4,0
4,0
8,0
4,0
16,5.88
16,8.33
16,15.55
16,10.81
16,13.33
16,16.66
16,-27.27
16,-8.33
16,15.15
8,0
16,13.15
4,0
4,0
4,0
8,0
8,0
8,12.50
8,0
8,0
4,0
8,0
8,0
8,0
8,0
8,0
8,0
128,18.22
16,10.81
64,3.40
64,-12.76
64,18.04
64,20.65
64,12.40
64,12.38
8,0
4,0
32,26.27
8,0
8,0
4,0
16,14.28
8,0
16,11.11
8,0
8,0
8,0
8,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
8,0
8,0
128,25.00
16,0
16,0
16,0
8,0
8,0
8,0
8,15.38
128,21.53
4,0
4,0
16,0
4,0
4,0
4,0
4,0
16,-27.27
16,12.50
16,12.50
16,12.50
16,12.50
16,12.50
16,0
16,12.50
16,13.33
16,12.50
16,12.50
16,12.50
16,12.50
16,10.00
16,12.12
16,10.81
16,13.33
16,0
16,10.81
8,-10.00
4,0
8,6.25
8,0
8,-10.00
8,0
8,0
8,0
8,0
8,14.28
8,15.38
8,13.33
8,0
8,0
8,0
8,0
8,12.50
8,13.33
8,0
8,0
8,0
4,0
16,12.12
16,0
16,13.15
16,0
16,0
64,14.62
64,18.42
8,0
4,0
4,0
64,22.32
4,0
128,24.35
16,11.11
16,0
4,0
4,16.66
4,0
4,0
4,0
4,0
4,0
4,0
4,0
8,0
16,5.71
4,0
4,0
4,0
8,0
8,0
8,0
8,0
4,0
4,0
8,0
8,-10.00
8,0
16,11.11
4,0
4,0
8,0
4,0
4,0
4,0
16,-27.27
16,10.81
4,0
16,12.50
8,12.50
4,0
4,0
4,0
4,0
4,0
8,12.50
16,14.58
8,12.50
128,17.23
4,0
4,0
4,0
32,20.68
8,0
16,5.76
8,0
8,12.50
16,16.66
8,-10.00
8,20.00
8,-10.00
4,0
4,0
4,0
8,13.33
8,0
8,0
8,0
8,12.50
8,0
8,0
8,15.38
8,0
8,0
8,15.38
8,9.09
4,0
16,-9.61
8,15.38
16,12.12
8,6.25
16,0
16,21.15
8,0
8,11.11
8,0
8,15.38
8,0
8,0
8,15.38
8,0
8,0
8,12.50
8,13.33
8,0
8,15.38
8,0
8,12.50
8,0
8,0
8,13.33
4,0
4,0
4,0
4,0
16,6.25
4,0
8,15.38
8,0
8,0
4,0
16,5.71
128,24.35
4,0
64,.96
64,18.66
64,17.37
64,16.25
64,20.00
64,17.37
64,15.33
64,1.29
64,20.26
64,14.59
8,0
4,0
4,0
8,0
8,0
32,17.96
16,0
16,8.33
16,12.96
16,15.38
4,0
4,0
4,16.66
4,0
4,0
4,0
4,16.66
4,0
4,0
4,16.66
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
128,19.52
128,3.10
16,11.11
8,13.33
8,0
8,-10.00
4,0
4,0
4,0
4,0
4,0
4,0
4,0
8,0
16,5.71
16,12.50
16,12.50
4,0
128,11.82
128,3.26
64,17.98
4,0
16,9.52
16,13.15
16,-2.63
16,11.11
16,13.72
16,17.39
16,13.15
4,0
4,0
4,0
8,0
8,13.33
8,0
8,0
8,-10.00
8,0
8,11.76
8,-8.33
16,16.07
8,0
8,18.18
8,0
8,0
8,0
4,0
4,0
8,0
4,0
4,0
4,0
4,0
8,9.09
8,11.76
8,0
4,0
8,0
32,18.18
4,0
