Nodes,Groups,Reduction
12,2,25.00
4,2,0
256,3,-4.94
131,2,-17.58
131,4,1.85
192,10,-4.46
192,13,31.77
192,12,29.24
192,5,25.04
192,5,7.59
192,9,21.16
12,5,39.39
12,3,6.25
64,3,-21.85
8,5,-6.25
16,7,-4.16
16,2,0
32,2,0
8,2,0
12,4,30.00
12,5,-8.00
12,4,37.50
12,2,47.05
4,3,0
8,5,0
4,2,0
36,2,5.55
36,2,9.42
8,3,14.28
4,2,0
64,4,15.98
64,2,-35.71
36,5,-15.50
131,6,15.31
131,4,.14
131,4,10.43
131,3,10.36
4,2,0
16,2,0
16,2,0
16,2,0
16,2,-33.33
128,3,19.65
8,2,-50.00
8,4,0
8,4,11.11
5,2,0
32,4,15.00
32,4,6.86
32,3,15.38
84,3,7.84
8,2,0
16,6,0
16,4,-29.16
16,6,12.50
20,3,30.95
8,2,-50.00
60,2,2.17
32,9,13.39
24,2,-18.75
20,4,20.83
8,5,0
4,3,16.66
32,5,19.85
32,8,15.47
32,4,13.70
64,3,7.22
128,14,17.28
512,20,21.28
1024,20,25.68
4,2,0
8,4,18.18
16,7,10.00
32,7,-35.41
64,3,4.70
128,12,14.98
256,7,23.83
512,20,24.57
1024,19,16.84
4,2,0
36,3,7.97
4,2,0
16,5,12.06
4,2,0
6,3,28.57
64,2,-13.44
16,5,5.88
512,5,13.32
125,2,-53.57
216,4,28.40
343,9,22.07
512,5,7.51
1000,21,20.21
1000,17,16.57
4,2,0
729,11,19.75
512,5,13.32
16,6,15.62
64,5,-13.39
512,5,22.53
512,5,5.36
4,2,0
4,3,0
16,4,10.00
32,5,15.92
4,3,0
4,3,16.66
20,4,29.82
24,2,12.06
24,2,12.50
4,3,0
4,2,0
4,3,0
4,2,0
4,4,0
4,2,0
4,4,0
4,2,0
64,2,-13.44
32,3,4.87
32,3,-5.40
32,6,3.84
32,2,0
32,4,14.49
32,5,-23.25
32,4,14.28
32,7,-2.77
64,2,-13.44
64,2,-22.85
32,2,0
64,2,0
32,8,5.68
64,2,-3.63
32,7,18.55
64,2,-4.65
64,4,-6.73
32,9,12.38
32,4,10.83
32,2,-26.66
64,3,5.68
64,2,0
64,2,0
32,3,-38.63
4,2,0
4,2,0
4,3,16.66
4,2,0
4,2,0
64,3,-14.91
12,3,36.95
4,2,0
12,4,39.28
12,2,-16.66
4,2,0
4,2,0
8,3,14.28
8,2,0
4,2,0
4,2,0
20,5,23.43
205,3,4.04
16,2,-33.33
32,2,-7.84
36,3,7.00
128,2,-6.87
512,4,18.08
32,2,-8.16
1024,5,14.57
1024,5,14.57
4,2,0
256,8,13.54
512,12,2.88
1024,21,18.43
1024,5,14.57
4,2,0
8,3,12.50
64,2,-7.20
128,2,-60.71
256,2,-214.58
512,5,16.78
128,3,8.93
2048,23,20.16
512,4,18.08
2048,24,24.05
512,4,18.08
1000,16,33.01
125,3,15.23
343,7,5.16
64,2,0
512,11,22.30
729,20,14.93
1024,17,24.31
256,6,19.66
32,2,-28.57
512,6,11.92
1728,23,27.54
16,3,13.15
2197,24,24.51
16,2,0
2800,24,23.08
2197,24,24.38
512,5,16.47
8,3,14.28
1000,19,25.02
500,10,28.93
128,6,21.81
9,3,10.00
512,5,16.47
8,5,0
27,7,7.27
64,8,20.90
125,6,12.96
216,15,21.08
512,12,18.64
1000,19,17.29
8,4,-8.33
8,2,0
32,2,-8.16
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
512,5,21.83
32,2,-8.16
512,5,19.99
512,5,19.99
512,5,23.22
512,5,25.55
8,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
8,2,0
512,5,17.90
