Nodes,Groups,Reduction
8,1,0
8,2,0
16,1,0
4,2,16.66
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
256,3,-3.64
128,2,10.30
128,4,1.41
128,8,9.70
128,8,20.12
128,8,17.89
128,4,11.56
128,4,6.62
128,7,16.40
4,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,4,16.66
8,3,12.50
64,3,.43
8,5,9.09
16,7,22.22
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
16,1,0
16,2,5.71
4,1,0
16,1,0
4,1,0
4,1,0
4,1,0
8,1,0
32,2,13.11
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
8,1,0
4,1,0
4,1,0
8,1,0
4,1,0
16,1,0
8,1,0
4,1,0
4,1,0
8,2,13.33
8,3,20.00
8,4,18.75
8,2,14.28
8,2,14.28
8,1,0
8,1,0
4,3,16.66
4,1,0
8,5,14.28
4,2,0
32,2,11.49
32,2,13.69
8,3,0
16,1,0
4,2,0
4,1,0
4,1,0
8,1,0
64,4,22.98
64,2,2.20
32,5,18.68
128,6,20.74
128,4,21.98
128,4,3.47
128,3,14.71
32,1,0
4,2,16.66
16,2,12.12
16,2,12.12
16,2,13.79
8,1,0
16,2,10.81
4,1,0
4,1,0
8,1,0
4,1,0
8,1,0
8,1,0
4,1,0
128,3,18.03
4,1,0
8,1,0
8,2,12.50
8,4,21.42
8,1,0
8,1,0
8,4,15.00
8,1,0
4,2,0
4,1,0
16,1,0
4,1,0
4,1,0
4,1,0
4,1,0
32,1,0
4,1,0
32,4,1.81
32,4,.96
32,3,13.26
32,1,0
8,1,0
4,1,0
16,1,0
16,1,0
64,3,17.46
4,1,0
8,1,0
4,1,0
16,1,0
8,1,0
8,1,0
4,1,0
8,1,0
4,1,0
16,1,0
8,1,0
8,2,15.38
8,1,0
16,6,20.65
16,4,16.66
16,6,5.55
4,1,0
16,2,10.81
4,1,0
8,2,12.50
16,1,0
32,2,12.98
8,1,0
4,1,0
32,9,7.27
16,2,0
16,3,20.68
16,1,0
8,5,9.09
4,1,0
4,3,0
32,5,14.60
32,8,21.52
32,4,22.29
4,1,0
16,1,0
8,1,0
16,1,0
32,1,0
64,3,15.43
128,14,20.47
512,20,19.06
1024,20,26.52
4,2,0
8,4,0
16,7,6.45
32,7,17.91
64,3,16.43
128,12,26.60
256,7,25.72
512,20,24.79
1024,19,20.34
4,2,0
16,1,0
32,3,-8.88
8,1,0
16,1,0
4,2,0
8,1,0
8,1,0
16,5,13.33
16,1,0
4,1,0
16,1,0
4,1,0
4,2,0
4,1,0
4,1,0
16,1,0
4,3,0
4,1,0
16,1,0
8,1,0
4,1,0
16,1,0
64,2,-6.12
16,1,0
16,5,-17.50
16,1,0
16,1,0
512,5,6.82
16,1,0
64,1,0
128,2,9.66
256,8,27.04
4,1,0
4,1,0
512,5,13.13
16,1,0
512,14,18.78
4,1,0
512,11,16.90
4,2,0
512,8,20.35
512,5,6.82
16,6,15.00
64,5,16.66
4,1,0
512,5,23.54
4,1,0
4,1,0
512,5,17.28
16,1,0
16,1,0
4,2,16.66
16,1,0
16,1,0
4,3,0
16,4,17.74
32,5,13.95
4,1,0
4,3,0
16,1,0
4,3,0
16,1,0
16,4,17.24
16,1,0
16,1,0
16,1,0
4,1,0
16,1,0
4,1,0
4,3,0
4,2,0
4,3,0
8,1,0
8,1,0
8,1,0
4,2,16.66
4,4,0
4,1,0
4,2,0
4,1,0
4,4,0
4,2,0
64,2,-6.12
32,1,0
32,3,17.50
32,3,5.76
32,6,6.97
32,2,7.31
32,4,10.83
32,5,8.64
32,4,19.23
32,7,11.32
64,2,-6.12
64,1,0
32,1,0
64,2,-38.88
32,2,11.49
64,2,0
32,8,13.11
64,2,7.32
32,7,20.20
64,2,9.82
64,4,7.74
32,9,0
32,4,24.67
32,2,-45.65
64,3,10.71
64,2,10.81
64,2,0
32,3,4.71
4,2,0
4,2,0
4,3,0
4,2,0
4,2,16.66
64,3,-13.81
8,3,20.00
4,2,0
8,4,9.09
8,2,-10.00
4,2,0
8,1,0
4,2,0
8,3,20.00
4,1,0
8,2,-10.00
4,1,0
4,2,0
4,1,0
4,2,0
16,5,11.42
4,1,0
16,1,0
128,2,12.77
4,1,0
16,1,0
4,1,0
16,2,11.11
4,1,0
32,2,13.15
32,2,0
128,2,-13.50
512,4,16.88
4,1,0
4,1,0
32,2,13.69
1024,5,20.21
1024,5,20.21
4,2,0
256,8,22.90
