Nodes,Reduction
8,0
8,0
16,0
4,16.66
4,0
4,0
4,0
4,0
4,0
256,-3.64
128,10.30
128,1.41
128,9.70
128,20.12
128,17.89
128,11.56
128,6.62
128,16.40
4,0
8,0
8,0
8,0
8,0
8,0
8,0
8,16.66
8,12.50
64,.43
8,9.09
16,22.22
4,0
4,0
4,0
4,0
4,0
16,0
16,5.71
4,0
16,0
4,0
4,0
4,0
8,0
32,13.11
4,0
4,0
4,0
4,0
4,0
4,0
8,0
4,0
4,0
8,0
4,0
16,0
8,0
4,0
4,0
8,13.33
8,20.00
8,18.75
8,14.28
8,14.28
8,0
8,0
4,16.66
4,0
8,14.28
4,0
32,11.49
32,13.69
8,0
16,0
4,0
4,0
4,0
8,0
64,22.98
64,2.20
32,18.68
128,20.74
128,21.98
128,3.47
128,14.71
32,0
4,16.66
16,12.12
16,12.12
16,13.79
8,0
16,10.81
4,0
4,0
8,0
4,0
8,0
8,0
4,0
128,18.03
4,0
8,0
8,12.50
8,21.42
8,0
8,0
8,15.00
8,0
4,0
4,0
16,0
4,0
4,0
4,0
4,0
32,0
4,0
32,1.81
32,.96
32,13.26
32,0
8,0
4,0
16,0
16,0
64,17.46
4,0
8,0
4,0
16,0
8,0
8,0
4,0
8,0
4,0
16,0
8,0
8,15.38
8,0
16,20.65
16,16.66
16,5.55
4,0
16,10.81
4,0
8,12.50
16,0
32,12.98
8,0
4,0
32,7.27
16,0
16,20.68
16,0
8,9.09
4,0
4,0
32,14.60
32,21.52
32,22.29
4,0
16,0
8,0
16,0
32,0
64,15.43
128,20.47
512,19.06
1024,26.52
4,0
8,0
16,6.45
32,17.91
64,16.43
128,26.60
256,25.72
512,24.79
1024,20.34
4,0
16,0
32,-8.88
8,0
16,0
4,0
8,0
8,0
16,13.33
16,0
4,0
16,0
4,0
4,0
4,0
4,0
16,0
4,0
4,0
16,0
8,0
4,0
16,0
64,-6.12
16,0
16,-17.50
16,0
16,0
512,6.82
16,0
64,0
128,9.66
256,27.04
4,0
4,0
512,13.13
16,0
512,18.78
4,0
512,16.90
4,0
512,20.35
512,6.82
16,15.00
64,16.66
4,0
512,23.54
4,0
4,0
512,17.28
16,0
16,0
4,16.66
16,0
16,0
4,0
16,17.74
32,13.95
4,0
4,0
16,0
4,0
16,0
16,17.24
16,0
16,0
16,0
4,0
16,0
4,0
4,0
4,0
4,0
8,0
8,0
8,0
4,16.66
4,0
4,0
4,0
4,0
4,0
4,0
64,-6.12
32,0
32,17.50
32,5.76
32,6.97
32,7.31
32,10.83
32,8.64
32,19.23
32,11.32
64,-6.12
64,0
32,0
64,-38.88
32,11.49
64,0
32,13.11
64,7.32
32,20.20
64,9.82
64,7.74
32,0
32,24.67
32,-45.65
64,10.71
64,10.81
64,0
32,4.71
4,0
4,0
4,0
4,0
4,16.66
64,-13.81
8,20.00
4,0
8,9.09
8,-10.00
4,0
8,0
4,0
8,20.00
4,0
8,-10.00
4,0
4,0
4,0
4,0
16,11.42
4,0
16,0
128,12.77
4,0
16,0
4,0
16,11.11
4,0
32,13.15
32,0
128,-13.50
512,16.88
4,0
4,0
32,13.69
1024,20.21
1024,20.21
4,0
256,22.90
512,17.37
1024,20.78
1024,20.21
4,16.66
8,18.75
64,12.34
128,1.48
256,-23.56
512,14.50
128,19.14
4,0
2048,22.27
512,16.88
4,0
4,0
2048,24.82
4,0
512,16.88
4,0
4,0
512,22.53
64,10.60
256,17.72
64,0
8,0
16,0
512,25.27
512,20.71
4,0
1024,23.28
4,0
4,0
8,0
4,0
4,0
256,16.20
32,0
32,10.12
8,0
16,0
4,0
512,15.91
1024,21.24
16,5.88
2048,24.63
16,13.79
2048,26.81
4,0
4,0
4,0
4,0
2048,26.06
512,11.92
8,20.00
4,0
4,0
512,16.65
4,0
4,0
4,0
256,19.58
4,0
128,23.76
8,18.18
512,11.92
4,0
4,0
8,0
16,3.33
64,21.78
64,9.59
128,25.15
512,17.89
512,23.98
8,18.18
8,15.38
8,0
32,13.69
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,16.66
4,0
4,0
4,0
4,0
4,0
4,0
4,16.66
512,19.78
8,0
32,13.69
4,0
4,0
16,0
512,18.12
4,0
8,0
4,0
512,18.12
4,0
8,0
512,24.04
4,0
512,24.30
8,0
4,0
16,0
8,0
4,16.66
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,16.66
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,16.66
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,16.66
4,0
4,0
4,16.66
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
16,0
4,0
8,0
16,0
512,23.18
4,0
4,0
4,0
512,25.38
4,0
16,0
64,-65.95
64,7.65
64,12.50
32,0
32,0
32,0
32,16.36
32,25.00
32,12.19
32,13.15
4,0
8,0
16,0
8,0
64,16.37
4,0
128,12.42
32,0
4,0
16,0
4,0
32,0
32,11.42
16,0
32,4.00
16,0
8,-10.00
32,-18.18
4,0
16,0
32,0
32,17.53
4,16.66
32,0
32,19.29
32,4.00
32,-18.18
32,7.81
32,15.51
32,-15.68
32,10.13
32,9.00
32,9.30
32,-.69
32,-8.73
32,21.15
32,10.71
32,16.07
32,16.91
4,0
32,4.00
32,7.14
32,15.97
32,18.39
32,13.38
32,22.22
32,8.75
32,19.01
32,17.30
32,13.39
32,0
32,11.22
32,12.32
32,9.86
32,11.60
16,13.33
4,0
32,18.98
32,9.09
32,16.23
32,13.84
32,12.29
32,10.08
32,11.57
32,11.60
32,-5.19
32,9.09
32,9.55
32,20.00
4,0
4,0
16,8.33
32,16.66
32,11.57
32,11.60
32,-1.75
32,21.33
32,17.14
32,17.41
32,10.55
32,8.40
32,11.60
32,7.85
128,21.73
16,8.33
64,18.10
4,0
16,17.50
32,10.27
16,12.96
16,0
4,0
16,5.71
4,0
4,0
4,0
16,-5.55
16,0
4,0
32,7.40
32,-1.51
32,9.30
32,21.11
32,18.46
16,9.52
4,0
4,0
8,0
16,12.12
4,0
4,0
4,0
4,0
8,0
8,0
16,16.00
16,0
32,-28.33
16,15.15
4,0
16,-2.63
32,11.36
16,0
16,18.96
32,7.69
16,0
4,0
4,0
32,20.87
16,15.15
8,0
32,2.81
32,12.50
16,-27.27
4,0
16,-27.27
8,0
16,-27.27
4,0
16,-27.27
32,0
16,-27.27
16,0
4,0
4,0
8,0
64,9.61
16,16.66
16,-27.27
16,-27.27
4,0
16,-27.27
16,-27.27
16,0
4,0
16,-27.27
16,-27.27
4,0
16,-27.27
16,0
4,0
